import time: self [us] | cumulative | imported package
import time:      6033 |       7713 |           sqlalchemy.future
import time:     19790 |      27503 |         sqlalchemy.orm.context
import time:      8092 |       8092 |             sqlalchemy.orm.strategy_options
import time:      7895 |       7895 |             sqlalchemy.orm.descriptor_props
import time:    256735 |     256735 |             sqlalchemy.orm.relationships
import time:     24263 |     296983 |           sqlalchemy.orm.properties
import time:     78564 |      78564 |           sqlalchemy.orm.query
import time:      1716 |       1716 |           sqlalchemy.orm.unitofwork
import time:      3982 |       3982 |               sqlalchemy.orm.evaluator
import time:      1720 |       1720 |                 sqlalchemy.orm.sync
import time:      4903 |       6623 |               sqlalchemy.orm.persistence
import time:      9355 |      19958 |             sqlalchemy.orm.bulk_persistence
import time:      1491 |       1491 |             sqlalchemy.orm.identity
import time:     72570 |      72570 |             sqlalchemy.orm.state_changes
import time:     22813 |     116830 |           sqlalchemy.orm.session
import time:     11729 |     505820 |         sqlalchemy.orm.strategies
import time:    207316 |     740638 |       sqlalchemy.orm.loading
import time:     45924 |     867427 |     sqlalchemy.orm.mapper
import time:     34075 |      34075 |     sqlalchemy.orm._orm_constructors
import time:      7670 |       7670 |       sqlalchemy.orm.clsregistry
import time:      9887 |       9887 |       sqlalchemy.orm.decl_base
import time:      6892 |      24448 |     sqlalchemy.orm.decl_api
import time:      2979 |       2979 |       sqlalchemy.orm.writeonly
import time:      4608 |       7586 |     sqlalchemy.orm.dynamic
import time:      8226 |       8226 |       sqlalchemy.orm.scoping
import time:    186689 |     194914 |     sqlalchemy.orm.events
import time:    153959 |     153959 |     sqlalchemy.orm.dependency
import time:      4950 |    1392087 |   sqlalchemy.orm
import time:      8382 |       8382 |       cryptography.__about__
import time:     69367 |      77749 |     cryptography
import time:     16399 |      16399 |     cryptography.utils
import time:     11467 |      11467 |           cryptography.hazmat
import time:      3686 |      15153 |         cryptography.hazmat.bindings
import time:     12974 |      12974 |         _cffi_backend
import time:     64186 |      92312 |       cryptography.hazmat.bindings._rust
import time:      2541 |      94853 |     cryptography.exceptions
import time:      1331 |       1331 |     cryptography.hazmat.primitives
import time:      5833 |       5833 |     cryptography.hazmat.primitives.hashes
import time:      2480 |       2480 |     cryptography.hazmat.primitives.padding
import time:      4497 |       4497 |       cryptography.hazmat.primitives._cipheralgorithm
import time:       993 |        993 |                 cryptography.hazmat.decrepit
import time:      2684 |       3676 |               cryptography.hazmat.decrepit.ciphers
